keyframe,x,y,z
47838,-3.9220598,-15.288282,3.5653791
47839,-3.73224,-15.124061,4.0250597
47840,-4.11486,-15.488,3.7672603
47841,-4.03712,-15.138639,3.26266
47842,-3.98012,-15.064301,3.2835999
47843,-3.9004202,-14.702879,3.4223397
47844,-3.8100994,-15.021462,3.6680396
47845,-4.0922,-15.294718,3.8026202
47846,-4.1457996,-15.419961,4.106159
47847,-4.03658,-14.98456,4.21446
47848,-3.8825994,-15.166901,4.4293394
47849,-4.01344,-15.464,4.5504994
47850,-3.5937593,-15.48948,4.21614
47851,-3.7298794,-15.02968,4.0312605
47852,-4.20988,-14.963922,4.0404997
47853,-4.19434,-15.164818,3.99236
47854,-4.0189805,-15.243918,4.24708
47855,-3.9871001,-15.379742,4.81182
47856,-3.72798,-15.124718,4.4643207
47857,-4.155879,-15.393599,4.451579
47858,-3.90958,-15.207643,4.2129207
47859,-3.5611005,-15.009201,4.2932796
47860,-3.93796,-15.62178,4.6033597
47861,-3.5642202,-15.28726,4.32884
47862,-3.69048,-15.3444805,4.2048407
47863,-3.8555799,-15.185278,4.4167
47864,-4.16924,-14.938539,4.0998197
47865,-4.1473403,-14.912177,4.02012
47866,-4.2576804,-15.160159,4.1020603
47867,-3.9697995,-15.24656,4.4262
47868,-4.04266,-15.545001,4.3039994
47869,-4.33396,-14.921999,4.335439
47870,-3.9120803,-15.245543,4.3126993
47871,-3.75438,-15.440639,4.07636
47872,-3.71592,-15.511659,4.636641
47873,-3.9626,-15.281521,4.6734595
47874,-3.9908998,-15.518199,4.2346807
47875,-4.2053,-15.5755625,4.25388
47876,-3.7848804,-15.406879,4.2854414
47877,-4.1311603,-15.336497,3.8428195
47878,-4.06106,-15.524102,3.9719806
47879,-3.8697796,-15.577721,3.939639
47880,-3.915759,-16.024078,4.12268
47881,-3.8318005,-15.479838,4.2351604
47882,-3.73612,-15.614561,4.3671002
47883,-3.7545192,-15.976059,4.52618
47884,-4.0743194,-15.635679,4.2944407
47885,-3.661519,-15.694302,4.09698
47886,-3.83378,-15.23468,4.22006
47887,-3.9246993,-15.65734,3.98204
47888,-3.4678597,-15.991557,4.327919
47889,-3.77378,-15.791423,4.3393397
47890,-3.6664398,-16.110699,4.27966
47891,-3.6019204,-15.701979,4.47086
47892,-3.8716807,-15.902218,4.3672404
47893,-3.6927202,-15.5376,4.34558
47894,-3.9211397,-15.921101,4.3566594
47895,-3.3468192,-16.3841,4.538199
47896,-3.8813603,-15.956719,4.7095594
47897,-3.711539,-15.40606,4.56038
47898,-3.2799203,-15.542319,4.65714
47899,-3.4642804,-15.685718,4.4697995
47900,-3.5705593,-15.83056,4.690739
47901,-3.6759198,-15.42628,4.36998
47902,-3.6785998,-15.699961,4.56334
47903,-3.4012606,-15.655802,4.48618
47904,-4.04446,-16.409597,4.707781
47905,-3.9125798,-15.772243,4.4801006
47906,-3.7092597,-16.223963,4.652019
47907,-3.6943805,-15.247799,4.3952994
47908,-4.02988,-15.328664,4.3401804
47909,-3.5917404,-15.58044,4.4632587
